Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_Worker,Class
A14,24,existing credits paid back duly till now,business,1258,< 100 DM,4 <= ... < 7 years,4,male : single,,1,real estate,25,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,12,critical account,radio/television,717,< 100 DM, >= 7 years,4,male : single,,4,real estate,52,,Own,3,skilled employee,1,,Yes,1
A14,6,no credits taken/ all credits paid back duly,Car Used,1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,,1,no property,35,Bank,Rent,1,skilled employee,1,,No,1
A13,24,existing credits paid back duly till now,furniture/equipment,1925,< 100 DM,1 <= ... < 4 years,2,male : single,,2,real estate,26,,Own,1,skilled employee,1,,Yes,1
A14,18,existing credits paid back duly till now,radio/television,433,< 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,,Rent,1,skilled employee,1,,Yes,2
A11,6,critical account,Car Used,666,. >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,,4,real estate,39,,Own,2,unskilled - resident,1,registered under the customers name,Yes,1
A13,12,existing credits paid back duly till now,furniture/equipment,2251,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,,2,car or other,46,,Own,1,unskilled - resident,1,,Yes,1
A12,30,existing credits paid back duly till now,Car Used,2150,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,no property,24,Bank,Own,1,skilled employee,1,,Yes,2
A14,24,delay in paying off in the past,furniture/equipment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,,3,building society savings agreement/ life insurance,35,,Own,2,skilled employee,1,,Yes,1
A12,9,existing credits paid back duly till now,furniture/equipment,2030,Unknown,4 <= ... < 7 years,2,male : single,,1,car or other,24,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,60,delay in paying off in the past,radio/television,7418,Unknown,1 <= ... < 4 years,1,male : single,,1,real estate,27,,Own,1,unskilled - resident,1,,Yes,1
A14,24,critical account,radio/television,2684,< 100 DM,1 <= ... < 4 years,4,male : single,,2,real estate,35,,Own,2,unskilled - resident,1,,Yes,1
A11,12,all credits at this bank paid back duly,radio/television,2149,< 100 DM,1 <= ... < 4 years,4,male : divorced/separated,,1,no property,29,,For Free,1,skilled employee,1,,Yes,2
A14,15,existing credits paid back duly till now,Car New,3812,100 <= ... < 500 DM,< 1 year,1,female : divorced/separated/married,,4,car or other,23,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,11,critical account,radio/television,1154,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,,4,real estate,57,,Own,3,unskilled - resident,1,,Yes,1
A11,12,existing credits paid back duly till now,furniture/equipment,1657,< 100 DM,1 <= ... < 4 years,2,male : single,,2,real estate,27,,Own,1,skilled employee,1,,Yes,1
A11,24,existing credits paid back duly till now,radio/television,1603,< 100 DM, >= 7 years,4,female : divorced/separated/married,,4,car or other,55,,Own,1,skilled employee,1,,Yes,1
A11,18,critical account,Car Used,5302,< 100 DM, >= 7 years,2,male : single,,4,no property,36,,For Free,3,management,1,registered under the customers name,Yes,1
A14,12,critical account,education,2748,< 100 DM, >= 7 years,2,female : divorced/separated/married,,4,no property,57,Bank,For Free,3,unskilled - resident,1,,Yes,1
A14,10,critical account,Car Used,1231,< 100 DM, >= 7 years,3,male : single,,4,real estate,32,,Own,2,unskilled - resident,2,,No,1
A12,15,existing credits paid back duly till now,radio/television,802,< 100 DM, >= 7 years,4,male : single,,3,car or other,37,,Own,1,skilled employee,2,,Yes,2
A14,36,critical account,business,6304,Unknown, >= 7 years,4,male : single,,4,real estate,36,,Own,2,skilled employee,1,,Yes,1
A14,24,existing credits paid back duly till now,radio/television,1533,< 100 DM,< 1 year,4,female : divorced/separated/married,,3,car or other,38,Stores,Own,1,skilled employee,1,registered under the customers name,Yes,1
A11,14,existing credits paid back duly till now,Car Used,8978,< 100 DM, >= 7 years,1,male : divorced/separated,,4,building society savings agreement/ life insurance,45,,Own,1,management,1,registered under the customers name,No,2
A14,24,existing credits paid back duly till now,radio/television,999,Unknown, >= 7 years,4,male : single,,2,car or other,25,,Own,2,skilled employee,1,,Yes,1
A14,18,existing credits paid back duly till now,Car Used,2662,Unknown,4 <= ... < 7 years,4,male : single,,3,building society savings agreement/ life insurance,32,,Own,1,skilled employee,1,,No,1
A14,12,critical account,furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,,4,car or other,37,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A12,48,all credits at this bank paid back duly,Car Used,12169,Unknown,unemployed,4,male : single,co-applicant,4,no property,36,,For Free,1,management,1,registered under the customers name,Yes,1
A12,48,existing credits paid back duly till now,radio/television,3060,< 100 DM,4 <= ... < 7 years,4,male : single,,4,real estate,28,,Own,2,skilled employee,1,,Yes,2
A11,30,existing credits paid back duly till now,repairs,11998,< 100 DM,< 1 year,1,male : divorced/separated,,1,no property,34,,Own,1,unskilled - resident,1,registered under the customers name,Yes,2
A14,9,existing credits paid back duly till now,radio/television,2697,< 100 DM,1 <= ... < 4 years,1,male : single,,2,real estate,32,,Own,1,skilled employee,2,,Yes,1
A14,18,critical account,radio/television,2404,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,2,car or other,26,,Own,2,skilled employee,1,,Yes,1
A11,12,existing credits paid back duly till now,furniture/equipment,1262,Unknown, >= 7 years,2,male : divorced/separated,,4,building society savings agreement/ life insurance,49,,Own,1,unskilled - resident,1,registered under the customers name,Yes,1
A14,6,existing credits paid back duly till now,furniture/equipment,4611,< 100 DM,< 1 year,1,female : divorced/separated/married,,4,building society savings agreement/ life insurance,32,,Own,1,skilled employee,1,,Yes,2
A14,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,,4,car or other,29,,Rent,1,management,1,registered under the customers name,Yes,1
A14,15,critical account,Car New,3368,. >= 1000 DM, >= 7 years,3,male : single,,4,no property,23,,Rent,2,skilled employee,1,registered under the customers name,Yes,1
A14,12,existing credits paid back duly till now,furniture/equipment,1574,< 100 DM,1 <= ... < 4 years,4,male : single,,2,real estate,50,,Own,1,skilled employee,1,,Yes,1
A13,18,all credits at this bank paid back duly,radio/television,1445,Unknown,4 <= ... < 7 years,4,male : single,,4,car or other,49,Bank,Own,1,unskilled - resident,1,,Yes,1
A14,15,critical account,furniture/equipment,1520,Unknown, >= 7 years,4,male : single,,4,building society savings agreement/ life insurance,63,,Own,1,skilled employee,1,,Yes,1
A12,24,critical account,Car Used,3878,100 <= ... < 500 DM,< 1 year,4,male : divorced/separated,,2,car or other,37,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A11,47,existing credits paid back duly till now,Car Used,10722,< 100 DM,< 1 year,1,female : divorced/separated/married,,1,real estate,35,,Own,1,unskilled - resident,1,registered under the customers name,Yes,1
A11,48,existing credits paid back duly till now,Car New,4788,< 100 DM,4 <= ... < 7 years,4,male : single,,3,building society savings agreement/ life insurance,26,,Own,1,skilled employee,2,,Yes,1
A12,48,delay in paying off in the past,Car New0,7582,100 <= ... < 500 DM,unemployed,2,male : single,,4,no property,31,,For Free,1,management,1,registered under the customers name,Yes,1
A12,12,existing credits paid back duly till now,radio/television,1092,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A11,24,delay in paying off in the past,radio/television,1024,< 100 DM,< 1 year,4,male : married/widowed,,4,real estate,48,Stores,Own,1,skilled employee,1,,Yes,2
A14,12,existing credits paid back duly till now,business,1076,< 100 DM,1 <= ... < 4 years,2,male : married/widowed,,2,real estate,26,,Own,1,skilled employee,1,registered under the customers name,No,1
A12,36,existing credits paid back duly till now,Car New,9398,< 100 DM,< 1 year,1,male : married/widowed,,4,car or other,28,,Rent,1,management,1,registered under the customers name,Yes,2
A11,24,critical account,Car New,6419,< 100 DM, >= 7 years,2,female : divorced/separated/married,,4,no property,44,,For Free,2,management,2,registered under the customers name,Yes,1
A13,42,critical account,Car New,4796,< 100 DM, >= 7 years,4,male : single,,4,no property,56,,For Free,1,skilled employee,1,,Yes,1
A14,48,critical account,business,7629,Unknown, >= 7 years,4,male : divorced/separated,,2,car or other,46,Bank,Own,2,management,2,,Yes,1
A12,48,existing credits paid back duly till now,furniture/equipment,9960,< 100 DM,< 1 year,1,female : divorced/separated/married,,2,car or other,26,,Own,1,skilled employee,1,registered under the customers name,Yes,2
A14,12,existing credits paid back duly till now,Car New,4675,Unknown,< 1 year,1,female : divorced/separated/married,,4,car or other,20,,Rent,1,skilled employee,1,,Yes,1
A14,10,existing credits paid back duly till now,Car Used,1287,Unknown, >= 7 years,4,male : single,co-applicant,2,building society savings agreement/ life insurance,45,,Own,1,unskilled - resident,1,,No,1
A14,18,existing credits paid back duly till now,furniture/equipment,2515,< 100 DM,1 <= ... < 4 years,3,male : single,,4,real estate,43,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,21,critical account,furniture/equipment,2745,. >= 1000 DM,4 <= ... < 7 years,3,male : single,,2,car or other,32,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,6,existing credits paid back duly till now,Car Used,672,< 100 DM,unemployed,1,female : divorced/separated/married,,4,real estate,54,,Own,1,unemployed,1,registered under the customers name,Yes,1
A12,36,no credits taken/ all credits paid back duly,radio/television,3804,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,1,car or other,42,,Own,1,skilled employee,1,registered under the customers name,Yes,2
A13,24,critical account,Car Used,1344,Unknown,4 <= ... < 7 years,4,male : single,,2,real estate,37,Bank,Own,2,unskilled - resident,2,,Yes,2
A11,10,critical account,Car Used,1038,< 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/ life insurance,49,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,48,critical account,Car Used,10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,,2,no property,44,Bank,For Free,1,skilled employee,1,,Yes,2
A14,6,existing credits paid back duly till now,furniture/equipment,1543,. >= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,,2,real estate,33,,Own,1,skilled employee,1,,Yes,1
A14,30,existing credits paid back duly till now,Car New,4811,Unknown,4 <= ... < 7 years,2,female : divorced/separated/married,,4,building society savings agreement/ life insurance,24,Stores,Rent,1,unskilled - resident,1,,Yes,1
A11,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,< 1 year,4,male : married/widowed,,3,no property,33,,Own,1,unskilled - resident,1,registered under the customers name,Yes,2
A12,8,existing credits paid back duly till now,furniture/equipment,1237,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,,4,real estate,24,,Own,1,skilled employee,1,,Yes,2
A12,9,existing credits paid back duly till now,Car Used,276,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,,4,real estate,22,,Rent,1,unskilled - resident,1,,Yes,1
A12,48,existing credits paid back duly till now,Car New0,5381,Unknown,unemployed,3,male : single,,4,no property,40,Bank,For Free,1,unemployed,1,registered under the customers name,Yes,1
A14,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,,1,car or other,25,Stores,Own,1,skilled employee,1,,Yes,1
A13,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female : divorced/separated/married,,4,car or other,26,,Own,1,skilled employee,1,,Yes,1
A12,12,existing credits paid back duly till now,Car Used,685,< 100 DM,4 <= ... < 7 years,2,male : married/widowed,,3,car or other,25,Bank,Own,1,unskilled - resident,1,,Yes,2
A13,4,existing credits paid back duly till now,Car Used,1494,Unknown,< 1 year,1,male : single,,2,real estate,29,,Own,1,unskilled - resident,2,,No,1
A11,36,all credits at this bank paid back duly,furniture/equipment,2746,< 100 DM, >= 7 years,4,male : single,,4,car or other,31,Bank,Own,1,skilled employee,1,,Yes,2
A11,12,existing credits paid back duly till now,furniture/equipment,708,< 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,38,,Own,1,unskilled - resident,2,,Yes,1
A12,24,existing credits paid back duly till now,furniture/equipment,4351,Unknown,1 <= ... < 4 years,1,female : divorced/separated/married,,4,building society savings agreement/ life insurance,48,,Own,1,unskilled - resident,1,registered under the customers name,Yes,1
A14,12,critical account,education,701,< 100 DM,1 <= ... < 4 years,4,male : single,,2,car or other,32,,Own,2,skilled employee,1,,Yes,1
A11,15,delay in paying off in the past,furniture/equipment,3643,< 100 DM, >= 7 years,1,female : divorced/separated/married,,4,building society savings agreement/ life insurance,27,,Own,2,unskilled - resident,1,,Yes,1
A12,30,critical account,Car Used,4249,< 100 DM,unemployed,4,male : married/widowed,,2,car or other,28,,Own,2,management,1,,Yes,2
A11,24,existing credits paid back duly till now,radio/television,1938,< 100 DM,< 1 year,4,male : divorced/separated,,3,building society savings agreement/ life insurance,32,,Own,1,skilled employee,1,,Yes,2
A11,24,existing credits paid back duly till now,Car New,2910,< 100 DM,4 <= ... < 7 years,2,male : single,,1,no property,34,,For Free,1,management,1,registered under the customers name,Yes,1
A11,18,existing credits paid back duly till now,furniture/equipment,2659,. >= 1000 DM,1 <= ... < 4 years,4,male : single,,2,car or other,28,,Own,1,skilled employee,1,,Yes,1
A14,18,critical account,Car Used,1028,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,3,real estate,36,,Own,2,skilled employee,1,,Yes,1
A11,8,critical account,Car Used,3398,< 100 DM,4 <= ... < 7 years,1,male : single,,4,real estate,39,,Own,2,unskilled - resident,1,,No,1
A14,12,critical account,furniture/equipment,5801,Unknown, >= 7 years,2,male : single,,4,building society savings agreement/ life insurance,49,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A14,24,existing credits paid back duly till now,Car Used,1525,. >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,,3,car or other,34,,Own,1,skilled employee,2,registered under the customers name,Yes,1
A13,36,existing credits paid back duly till now,radio/television,4473,< 100 DM, >= 7 years,4,male : single,,2,car or other,31,,Own,1,skilled employee,1,,Yes,1
A12,6,existing credits paid back duly till now,radio/television,1068,< 100 DM, >= 7 years,4,male : single,,4,car or other,28,,Own,1,skilled employee,2,,Yes,1
A11,24,critical account,Car New,6615,< 100 DM,unemployed,2,male : single,,4,no property,75,,For Free,2,management,1,registered under the customers name,Yes,1
A14,18,critical account,education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,2,real estate,30,,Own,2,skilled employee,1,,Yes,2
A12,60,existing credits paid back duly till now,Car Used,7408,100 <= ... < 500 DM,< 1 year,4,female : divorced/separated/married,,2,building society savings agreement/ life insurance,24,,Own,1,management,1,,Yes,2
A14,48,critical account,Car New,11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,4,car or other,24,Bank,Rent,2,unskilled - resident,1,,Yes,2
A11,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,< 100 DM, >= 7 years,3,male : single,,4,no property,23,Bank,Rent,2,skilled employee,2,,Yes,2
A11,6,critical account,furniture/equipment,3384,< 100 DM,1 <= ... < 4 years,1,male : divorced/separated,,4,real estate,44,,Rent,1,management,1,registered under the customers name,Yes,2
A12,13,existing credits paid back duly till now,radio/television,2101,< 100 DM,< 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,,Own,1,unskilled - resident,1,,Yes,1
A11,15,existing credits paid back duly till now,domestic appliances,1275,Unknown,1 <= ... < 4 years,4,female : divorced/separated/married,,2,car or other,24,,Rent,1,skilled employee,1,,Yes,2
A11,24,existing credits paid back duly till now,furniture/equipment,4169,< 100 DM,1 <= ... < 4 years,4,male : single,,4,building society savings agreement/ life insurance,28,,Own,1,skilled employee,1,,Yes,1
A12,10,existing credits paid back duly till now,furniture/equipment,1521,< 100 DM,1 <= ... < 4 years,4,male : divorced/separated,,2,car or other,31,,Own,1,unskilled - resident,1,,Yes,1
A12,24,critical account,education,5743,< 100 DM,< 1 year,2,female : divorced/separated/married,,4,no property,24,,For Free,2,skilled employee,1,registered under the customers name,Yes,1
A11,21,existing credits paid back duly till now,furniture/equipment,3599,< 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,,4,car or other,26,,Rent,1,unskilled - resident,1,,Yes,1
A12,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,< 1 year,1,male : married/widowed,,3,real estate,25,,Rent,1,skilled employee,1,,Yes,1
A12,18,existing credits paid back duly till now,business,4439,< 100 DM, >= 7 years,1,male : single,co-applicant,1,real estate,33,Bank,Own,1,management,1,registered under the customers name,Yes,1
A13,10,existing credits paid back duly till now,Car Used,3949,< 100 DM,< 1 year,1,male : single,guarantor,1,building society savings agreement/ life insurance,37,,Own,1,unskilled - resident,2,,Yes,1
A14,15,critical account,radio/television,1459,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,2,car or other,43,,Own,1,unskilled - resident,1,,Yes,1
A12,13,critical account,radio/television,882,< 100 DM,< 1 year,4,male : single,guarantor,4,real estate,23,,Own,2,skilled employee,1,,Yes,1
A12,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,,4,no property,23,,Rent,1,unemployed,1,,Yes,1
A14,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,,2,real estate,34,,Own,2,unskilled - resident,1,,Yes,1
A12,9,critical account,education,1136,. >= 1000 DM, >= 7 years,4,male : single,,3,no property,32,,For Free,2,skilled employee,2,,Yes,2
A14,9,existing credits paid back duly till now,domestic appliances,1236,< 100 DM,< 1 year,1,female : divorced/separated/married,,4,real estate,23,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A12,9,existing credits paid back duly till now,furniture/equipment,959,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,,2,car or other,29,,Own,1,skilled employee,1,,No,2
A14,18,critical account,Car New,3229,Unknown,unemployed,2,male : single,,4,no property,38,,Own,1,management,1,registered under the customers name,Yes,1
A11,12,no credits taken/ all credits paid back duly,radio/television,6199,< 100 DM,1 <= ... < 4 years,4,male : single,,2,building society savings agreement/ life insurance,28,,Rent,2,skilled employee,1,registered under the customers name,Yes,2
A14,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM, >= 7 years,4,male : single,,4,no property,46,,For Free,1,skilled employee,1,registered under the customers name,Yes,1
A12,24,existing credits paid back duly till now,Car Used,1246,< 100 DM,< 1 year,4,male : single,,2,real estate,23,Stores,Own,1,unskilled - resident,1,,Yes,2
A14,12,critical account,radio/television,2331,Unknown, >= 7 years,1,male : single,co-applicant,4,real estate,49,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,36,delay in paying off in the past,radio/television,4463,< 100 DM,1 <= ... < 4 years,4,male : single,,2,car or other,26,,Own,2,management,1,registered under the customers name,Yes,2
A14,12,existing credits paid back duly till now,radio/television,776,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,,2,real estate,28,,Own,1,skilled employee,1,,Yes,1
A11,30,existing credits paid back duly till now,furniture/equipment,2406,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,,4,real estate,23,,Rent,1,skilled employee,1,,Yes,2
A12,18,existing credits paid back duly till now,education,1239,Unknown,1 <= ... < 4 years,4,male : single,,4,no property,61,,For Free,1,skilled employee,1,,Yes,1
A13,12,existing credits paid back duly till now,radio/television,3399,Unknown, >= 7 years,2,male : single,,3,car or other,37,,Own,1,management,1,,Yes,1
A13,12,delay in paying off in the past,Car Used,2247,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,2,car or other,36,Stores,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,6,existing credits paid back duly till now,furniture/equipment,1766,< 100 DM,1 <= ... < 4 years,1,male : married/widowed,,2,building society savings agreement/ life insurance,21,,Rent,1,skilled employee,1,,Yes,1
A11,18,existing credits paid back duly till now,furniture/equipment,2473,< 100 DM,unemployed,4,male : single,,1,car or other,25,,Own,1,unemployed,1,,Yes,2
A14,12,existing credits paid back duly till now,business,1542,< 100 DM,4 <= ... < 7 years,2,male : single,,4,car or other,36,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,18,critical account,Car New,3850,< 100 DM,4 <= ... < 7 years,3,male : single,,1,car or other,27,,Own,2,skilled employee,1,,Yes,1
A11,18,existing credits paid back duly till now,furniture/equipment,3650,< 100 DM,< 1 year,1,female : divorced/separated/married,,4,car or other,22,,Rent,1,skilled employee,1,,Yes,1
A11,36,existing credits paid back duly till now,furniture/equipment,3446,< 100 DM, >= 7 years,4,male : single,,2,car or other,42,,Own,1,skilled employee,2,,Yes,2
A12,18,existing credits paid back duly till now,furniture/equipment,3001,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,,4,real estate,40,,Rent,1,skilled employee,1,,Yes,1
A14,36,existing credits paid back duly till now,Car Used,3079,Unknown,1 <= ... < 4 years,4,male : single,,4,real estate,36,,Own,1,skilled employee,1,,Yes,1
A14,18,critical account,radio/television,6070,< 100 DM, >= 7 years,3,male : single,,4,car or other,33,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,10,critical account,furniture/equipment,2146,< 100 DM,< 1 year,1,female : divorced/separated/married,,3,real estate,23,,Rent,2,skilled employee,1,,Yes,1
A14,60,critical account,Car Used,13756,Unknown, >= 7 years,2,male : single,,4,no property,63,Bank,For Free,1,management,1,registered under the customers name,Yes,1
A12,60,all credits at this bank paid back duly,Car New0,14782,100 <= ... < 500 DM, >= 7 years,3,female : divorced/separated/married,,4,no property,60,Bank,For Free,2,management,1,registered under the customers name,Yes,2
A11,48,all credits at this bank paid back duly,business,7685,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,car or other,37,,Rent,1,skilled employee,1,,Yes,2
A14,18,delay in paying off in the past,radio/television,2320,< 100 DM,unemployed,2,male : married/widowed,,3,real estate,34,,Own,2,skilled employee,1,,Yes,1
A14,7,delay in paying off in the past,radio/television,846,Unknown, >= 7 years,3,male : single,,4,no property,36,,For Free,1,skilled employee,1,,Yes,1
A12,36,existing credits paid back duly till now,Car Used,14318,< 100 DM, >= 7 years,4,male : single,,2,no property,57,,For Free,1,management,1,registered under the customers name,Yes,2
A14,6,critical account,Car Used,362,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,4,car or other,52,,Own,2,unskilled - resident,1,,Yes,1
A11,20,existing credits paid back duly till now,furniture/equipment,2212,Unknown,4 <= ... < 7 years,4,male : single,,4,car or other,39,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,18,existing credits paid back duly till now,Car New,12976,< 100 DM,unemployed,3,female : divorced/separated/married,,4,no property,38,,For Free,1,management,1,registered under the customers name,Yes,2
A14,22,existing credits paid back duly till now,Car Used,1283,Unknown,4 <= ... < 7 years,4,female : divorced/separated/married,,4,building society savings agreement/ life insurance,25,,Rent,1,skilled employee,1,,Yes,1
A13,12,existing credits paid back duly till now,Car Used,1330,< 100 DM,< 1 year,4,male : single,,1,real estate,26,,Own,1,skilled employee,1,,Yes,1
A14,30,delay in paying off in the past,business,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,,2,building society savings agreement/ life insurance,26,,Own,2,unskilled - resident,1,,Yes,1
A14,18,critical account,radio/television,2238,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,1,car or other,25,,Own,2,skilled employee,1,,Yes,1
A14,18,existing credits paid back duly till now,radio/television,1126,Unknown,< 1 year,4,female : divorced/separated/married,,2,real estate,21,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A12,18,critical account,furniture/equipment,7374,< 100 DM,unemployed,4,male : single,,4,building society savings agreement/ life insurance,40,Stores,Own,2,management,1,registered under the customers name,Yes,1
A12,15,critical account,business,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,,4,car or other,27,Bank,Own,1,skilled employee,1,,Yes,1
A14,9,existing credits paid back duly till now,business,1449,< 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,,2,car or other,27,,Own,2,skilled employee,1,,Yes,1
A14,18,existing credits paid back duly till now,Car Used,1820,< 100 DM,1 <= ... < 4 years,2,male : married/widowed,,2,building society savings agreement/ life insurance,30,,Own,1,management,1,registered under the customers name,Yes,1
A12,12,existing credits paid back duly till now,furniture/equipment,983,. >= 1000 DM,< 1 year,1,female : divorced/separated/married,,4,real estate,19,,Rent,1,unskilled - resident,1,,Yes,1
A11,36,existing credits paid back duly till now,Car Used,3249,< 100 DM,4 <= ... < 7 years,2,male : single,,4,no property,39,Bank,For Free,1,management,2,registered under the customers name,Yes,1
A11,6,critical account,radio/television,1957,< 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,,4,car or other,31,,Own,1,skilled employee,1,,Yes,1
A14,9,critical account,furniture/equipment,2406,< 100 DM,unemployed,2,male : single,,3,car or other,31,,Own,1,management,1,,Yes,1
A12,39,delay in paying off in the past,education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,,3,no property,32,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A11,12,existing credits paid back duly till now,furniture/equipment,2578,< 100 DM,unemployed,3,female : divorced/separated/married,,4,no property,55,,For Free,1,management,1,,Yes,1
A11,36,critical account,furniture/equipment,2348,< 100 DM,1 <= ... < 4 years,3,male : married/widowed,,2,building society savings agreement/ life insurance,46,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A12,12,existing credits paid back duly till now,Car Used,1223,< 100 DM, >= 7 years,1,male : divorced/separated,,1,real estate,46,,Rent,2,skilled employee,1,,Yes,2
A14,24,critical account,radio/television,1516,. >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,1,real estate,43,,Own,2,unskilled - resident,1,,Yes,1
A14,18,existing credits paid back duly till now,radio/television,1473,< 100 DM,< 1 year,3,male : married/widowed,,4,real estate,39,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,18,critical account,business,1887,Unknown,1 <= ... < 4 years,4,male : married/widowed,,4,real estate,28,Bank,Own,2,skilled employee,1,,Yes,1
A14,24,delay in paying off in the past,business,8648,< 100 DM,< 1 year,2,male : single,,2,car or other,27,Bank,Own,2,skilled employee,1,registered under the customers name,Yes,2
A14,14,delay in paying off in the past,Car Used,802,< 100 DM,1 <= ... < 4 years,4,male : single,,2,car or other,27,,Own,2,unskilled - resident,1,,Yes,1
A12,18,delay in paying off in the past,Car Used,2899,Unknown, >= 7 years,4,male : single,,4,car or other,43,,Own,1,skilled employee,2,,Yes,1
A12,24,existing credits paid back duly till now,radio/television,2039,< 100 DM,< 1 year,1,male : married/widowed,,1,building society savings agreement/ life insurance,22,,Own,1,skilled employee,1,registered under the customers name,Yes,2
A14,24,critical account,Car New,2197,Unknown,4 <= ... < 7 years,4,male : single,,4,car or other,43,,Own,2,skilled employee,2,registered under the customers name,Yes,1
A11,15,existing credits paid back duly till now,radio/television,1053,< 100 DM,< 1 year,4,male : married/widowed,,2,real estate,27,,Own,1,skilled employee,1,,No,1
A14,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM, >= 7 years,3,male : divorced/separated,,2,car or other,26,,Own,1,management,1,registered under the customers name,Yes,1
A13,12,critical account,Car Used,939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,,2,real estate,28,,Own,3,skilled employee,1,registered under the customers name,Yes,2
